Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,132917121739190,132917405338630,283599440,-1
0,1,STEP,132917408250204,132917411575458,3325254,-1
1,1,STEP,132917411633625,132917414177538,2543913,-1
2,1,STEP,132917414235588,132917416724898,2489310,-1
3,1,STEP,132917416782998,132917419186666,2403668,-1
4,1,STEP,132917419245268,132917421595810,2350542,-1
5,1,STEP,132917421654214,132917423844194,2189980,-1
6,1,STEP,132917423902726,132917426225664,2322938,-1
7,1,STEP,132917426283704,132917428492779,2209075,-1
8,1,STEP,132917428551109,132917430743868,2192759,-1
9,1,STEP,132917430802261,132917432573667,1771406,-1
10,1,STEP,132917432630739,132917434767098,2136359,-1
11,1,STEP,132917434825897,132917437408756,2582859,-1
12,1,STEP,132917437505207,132917439865079,2359872,-1
13,1,STEP,132917439923790,132917441989734,2065944,-1
14,1,STEP,132917442047763,132917444357678,2309915,-1
15,1,STEP,132917444416741,132917446517926,2101185,-1
16,1,STEP,132917446576775,132917449048713,2471938,-1
17,1,STEP,132917449108338,132917451114062,2005724,-1
18,1,STEP,132917451173203,132917453443798,2270595,-1
19,1,STEP,132917453504187,132917455699020,2194833,-1
20,1,STEP,132917455757691,132917457717491,1959800,-1
21,1,STEP,132917457776582,132917459914634,2138052,-1
22,1,STEP,132917459973743,132917462322195,2348452,-1
23,1,STEP,132917462381651,132917464316142,1934491,-1
24,1,STEP,132917464375217,132917466312116,1936899,-1
25,1,STEP,132917466371297,132917468882585,2511288,-1
26,1,STEP,132917468942780,132917471210818,2268038,-1
27,1,STEP,132917471271036,132917473557415,2286379,-1
28,1,STEP,132917473617915,132917475591458,1973543,-1
29,1,STEP,132917475650411,132917477902285,2251874,-1
30,1,STEP,132917477962254,132917480264636,2302382,-1
31,1,STEP,132917480325450,132917482458981,2133531,-1
32,1,STEP,132917482522084,132917484239421,1717337,-1
33,1,STEP,132917484298708,132917486569507,2270799,-1
34,1,STEP,132917486630221,132917488824509,2194288,-1
35,1,STEP,132917488884785,132917491145458,2260673,-1
36,1,STEP,132917491206313,132917493485335,2279022,-1
37,1,STEP,132917493546833,132917495545557,1998724,-1
38,1,STEP,132917495605244,132917497564250,1959006,-1
39,1,STEP,132917497623653,132917499860282,2236629,-1
40,1,STEP,132917499920298,132917502388000,2467702,-1
41,1,STEP,132917502448921,132917504421603,1972682,-1
42,1,STEP,132917504482834,132917506875905,2393071,-1
43,1,STEP,132917506937954,132917509092107,2154153,-1
44,1,STEP,132917509152732,132917511371789,2219057,-1
45,1,STEP,132917511432588,132917513893555,2460967,-1
46,1,STEP,132917513955808,132917516785470,2829662,-1
47,1,STEP,132917516849465,132917519142642,2293177,-1
48,1,STEP,132917519203739,132917521543181,2339442,-1
49,1,STEP,132917521603783,132917523829795,2226012,-1
50,1,STEP,132917523890766,132917526060021,2169255,-1
51,1,STEP,132917526121627,132917528725316,2603689,-1
52,1,STEP,132917528788354,132917531230698,2442344,-1
53,1,STEP,132917531292791,132917533828137,2535346,-1
54,1,STEP,132917533890335,132917535902891,2012556,-1
55,1,STEP,132917535964599,132917538356917,2392318,-1
56,1,STEP,132917538419256,132917540966075,2546819,-1
57,1,STEP,132917541029902,132917543278789,2248887,-1
58,1,STEP,132917543342555,132917545862361,2519806,-1
