Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,STEP,354350521390752,354350522968856,1578104,-1
1,1,STEP,354350522992052,354350523831822,839770,-1
2,1,STEP,354350523855273,354350524861233,1005960,-1
3,1,STEP,354350524882073,354350525700063,817990,-1
4,1,STEP,354350525719531,354350526340214,620683,-1
5,1,STEP,354350526468464,354350527075082,606618,-1
6,1,STEP,354350527253173,354350527992432,739259,-1
7,1,STEP,354350528142653,354350528812313,669660,-1
8,1,STEP,354350529041467,354350529722758,681291,-1
9,1,STEP,354350529929534,354350530563880,634346,-1
10,1,STEP,354350530585327,354350531478548,893221,-1
11,1,STEP,354350531500807,354350532618261,1117454,-1
12,1,STEP,354350532640393,354350533488175,847782,-1
13,1,STEP,354350533510152,354350534345253,835101,-1
14,1,STEP,354350534367292,354350535187253,819961,-1
15,1,STEP,354350535208923,354350536068294,859371,-1
16,1,STEP,354350536089912,354350536877167,787255,-1
17,1,STEP,354350536900034,354350537753278,853244,-1
18,1,STEP,354350537775268,354350538622387,847119,-1
19,1,STEP,354350538643938,354350539503932,859994,-1
20,1,STEP,354350539526323,354350540531232,1004909,-1
21,1,STEP,354350540552550,354350541408093,855543,-1
22,1,STEP,354350541430330,354350542384893,954563,-1
23,1,STEP,354350542406700,354350543391181,984481,-1
24,1,STEP,354350543412663,354350544303718,891055,-1
25,1,STEP,354350544324877,354350545215822,890945,-1
26,1,STEP,354350545237559,354350546128955,891396,-1
27,1,STEP,354350546150235,354350547090884,940649,-1
28,1,STEP,354350547113524,354350548040310,926786,-1
29,1,STEP,354350548063581,354350548683710,620129,-1
30,1,STEP,354350548705585,354350549673582,967997,-1
31,1,STEP,354350549695213,354350550709645,1014432,-1
32,1,STEP,354350550731507,354350551717316,985809,-1
33,1,STEP,354350551742369,354350552501538,759169,-1
34,1,STEP,354350552761922,354350553452706,690784,-1
35,1,STEP,354350553796131,354350554493641,697510,-1
36,1,STEP,354350554516621,354350555504574,987953,-1
37,1,STEP,354350555526663,354350556465858,939195,-1
38,1,STEP,354350556487101,354350557509453,1022352,-1
39,1,STEP,354350557532413,354350558595976,1063563,-1
40,1,STEP,354350558617744,354350559655594,1037850,-1
41,1,STEP,354350559677392,354350560760054,1082662,-1
42,1,STEP,354350560782066,354350561739550,957484,-1
43,1,STEP,354350561763257,354350562834226,1070969,-1
44,1,STEP,354350562855656,354350563878837,1023181,-1
45,1,STEP,354350563900763,354350564955751,1054988,-1
46,1,STEP,354350564977567,354350566031103,1053536,-1
47,1,STEP,354350566053408,354350567138810,1085402,-1
48,1,STEP,354350567160678,354350568253424,1092746,-1
49,1,STEP,354350568275922,354350569292614,1016692,-1
50,1,STEP,354350569314316,354350570418656,1104340,-1
51,1,STEP,354350570436586,354350571556710,1120124,-1
52,1,STEP,354350571578647,354350572685028,1106381,-1
53,1,STEP,354350572706729,354350573747959,1041230,-1
54,1,STEP,354350573767459,354350574936536,1169077,-1
55,1,STEP,354350574959817,354350576920283,1960466,-1
56,1,STEP,354350576942105,354350577637560,695455,-1
57,1,STEP,354350578006619,354350578759994,753375,-1
58,1,STEP,354350579067191,354350579855729,788538,-1
59,1,STEP,354350580256388,354350580891309,634921,-1
60,1,STEP,354350581254808,354350582060915,806107,-1
61,1,STEP,354350582259931,354350583052509,792578,-1
62,1,STEP,354350583251496,354350583980160,728664,-1
63,1,STEP,354350584178541,354350584758846,580305,-1
64,1,STEP,354350585133688,354350585963801,830113,-1
65,1,STEP,354350586130057,354350586784608,654551,-1
66,1,STEP,354350587068018,354350587712775,644757,-1
67,1,STEP,354350588082559,354350588809563,727004,-1
68,1,STEP,354350589065699,354350589701492,635793,-1
69,1,STEP,354350590028424,354350590820779,792355,-1
70,1,STEP,354350591045867,354350591667600,621733,-1
71,1,STEP,354350591694877,354350592691058,996181,-1
72,1,STEP,354350592718390,354350593388384,669994,-1
73,1,STEP,354350593765324,354350594540230,774906,-1
74,1,STEP,354350594761838,354350595383612,621774,-1
75,1,STEP,354350595409305,354350596372256,962951,-1
76,1,STEP,354350596399669,354350597147284,747615,-1
77,1,STEP,354350597437343,354350598239475,802132,-1
78,1,STEP,354350598510858,354350599166592,655734,-1
79,1,STEP,354350599194251,354350600206147,1011896,-1
80,1,STEP,354350600235013,354350601134425,899412,-1
81,1,STEP,354350601160907,354350601943551,782644,-1
82,1,STEP,354350601970659,354350602888073,917414,-1
83,1,STEP,354350602915054,354350603835229,920175,-1
84,1,STEP,354350603863033,354350604781205,918172,-1
85,1,STEP,354350604809670,354350605704969,895299,-1
86,1,STEP,354350605732681,354350606593649,860968,-1
87,1,STEP,354350606620385,354350607528966,908581,-1
88,1,STEP,354350607555998,354350608451149,895151,-1
89,1,STEP,354350608478230,354350609384238,906008,-1
90,1,STEP,354350609411071,354350610328506,917435,-1
91,1,STEP,354350610355020,354350611287022,932002,-1
92,1,STEP,354350611313972,354350612212012,898040,-1
93,1,STEP,354350612238524,354350613178715,940191,-1
94,1,STEP,354350613205375,354350614184826,979451,-1
95,1,STEP,354350614212101,354350615192431,980330,-1
96,1,STEP,354350615219628,354350616082454,862826,-1
97,1,STEP,354350616108981,354350616954898,845917,-1
98,1,STEP,354350616983638,354350617676486,692848,-1
99,1,STEP,354350617838775,354350618556606,717831,-1
100,1,STEP,354350618682644,354350619333238,650594,-1
101,1,STEP,354350619584975,354350620371390,786415,-1
102,1,STEP,354350620532861,354350621259713,726852,-1
103,1,STEP,354350621424967,354350622360316,935349,-1
104,1,STEP,354350622387314,354350623026506,639192,-1
105,1,STEP,354350623229850,354350623851041,621191,-1
106,1,STEP,354350624183960,354350624862899,678939,-1
107,1,STEP,354350625139357,354350625872849,733492,-1
108,1,STEP,354350626099757,354350626818772,719015,-1
109,1,STEP,354350627134523,354350627759531,625008,-1
110,1,STEP,354350628095264,354350628880660,785396,-1
111,1,STEP,354350629187779,354350629949595,761816,-1
112,1,STEP,354350630159379,354350630830622,671243,-1
113,1,STEP,354350631098546,354350631691160,592614,-1
114,1,STEP,354350632029057,354350632711444,682387,-1
115,1,STEP,354350633010945,354350633808829,797884,-1
116,1,STEP,354350634004120,354350634703872,699752,-1
117,1,STEP,354350634961937,354350635753662,791725,-1
118,1,STEP,354350635917605,354350636792270,874665,-1
119,1,STEP,354350636928379,354350637616234,687855,-1
120,1,STEP,354350637944764,354350638534447,589683,-1
121,1,STEP,354350638842812,354350639489743,646931,-1
122,1,STEP,354350639741906,354350640411460,669554,-1
123,1,STEP,354350640639565,354350641312676,673111,-1
124,1,STEP,354350641575060,354350642341703,766643,-1
125,1,STEP,354350642521581,354350643066171,544590,-1
126,1,STEP,354350643095571,354350644012258,916687,-1
127,1,STEP,354350644039330,354350644752621,713291,-1
128,1,STEP,354350644985319,354350645656496,671177,-1
129,1,STEP,354350645934515,354350646636582,702067,-1
130,1,STEP,354350646925747,354350647665656,739909,-1
131,1,STEP,354350647933831,354350648565549,631718,-1
132,1,STEP,354350648957094,354350649605585,648491,-1
133,1,STEP,354350649958376,354350650566720,608344,-1
134,1,STEP,354350650931941,354350651688554,756613,-1
135,1,STEP,354350651946426,354350652601498,655072,-1
136,1,STEP,354350652953287,354350653704913,751626,-1
137,1,STEP,354350654016887,354350654686906,670019,-1
138,1,STEP,354350654711952,354350655691930,979978,-1
139,1,STEP,354350655711133,354350656744075,1032942,-1
140,1,STEP,354350656770383,354350657840068,1069685,-1
141,1,STEP,354350657868176,354350658850655,982479,-1
142,1,STEP,354350658876882,354350659903220,1026338,-1
143,1,STEP,354350659929384,354350660587915,658531,-1
144,1,STEP,354350660947098,354350661643622,696524,-1
145,1,STEP,354350661946475,354350662695880,749405,-1
146,1,STEP,354350662991343,354350663654842,663499,-1
147,1,STEP,354350664064523,354350664791258,726735,-1
148,1,STEP,354350665159975,354350665817250,657275,-1
149,1,STEP,354350666203144,354350666907887,704743,-1
150,1,STEP,354350667256588,354350667918934,662346,-1
151,1,STEP,354350668281211,354350668888388,607177,-1
152,1,STEP,354350669283593,354350670029322,745729,-1
153,1,STEP,354350670376250,354350671090657,714407,-1
154,1,STEP,354350671116684,354350672175307,1058623,-1
155,1,STEP,354350672205541,354350672968676,763135,-1
156,1,STEP,354350672994088,354350674092133,1098045,-1
157,1,STEP,354350674119553,354350675093644,974091,-1
158,1,STEP,354350675120119,354350676080865,960746,-1
159,1,STEP,354350676106781,354350677065492,958711,-1
160,1,STEP,354350677091433,354350678055410,963977,-1
161,1,STEP,354350678082759,354350678787602,704843,-1
162,1,STEP,354350678815362,354350679803489,988127,-1
163,1,STEP,354350679831527,354350680826807,995280,-1
164,1,STEP,354350680853379,354350681852764,999385,-1
165,1,STEP,354350681880104,354350682624190,744086,-1
166,1,STEP,354350682927501,354350683703281,775780,-1
167,1,STEP,354350683989749,354350684810219,820470,-1
