Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
119,1,STEP,353569219014135,353569219999898,985763,-1
120,1,STEP,353569220018282,353569220879754,861472,-1
121,1,STEP,353569220901507,353569221837761,936254,-1
122,1,STEP,353569221857813,353569222784430,926617,-1
123,1,STEP,353569222804820,353569223794109,989289,-1
124,1,STEP,353569223813325,353569224752690,939365,-1
125,1,STEP,353569224772425,353569225726034,953609,-1
126,1,STEP,353569225748693,353569226691467,942774,-1
127,1,STEP,353569226710302,353569227672626,962324,-1
128,1,STEP,353569227691477,353569228657912,966435,-1
129,1,STEP,353569228683289,353569229290022,606733,-1
130,1,STEP,353569229309467,353569230215070,905603,-1
131,1,STEP,353569230234526,353569231145680,911154,-1
132,1,STEP,353569231165112,353569232204223,1039111,-1
133,1,STEP,353569232222912,353569233209472,986560,-1
134,1,STEP,353569233228165,353569234271632,1043467,-1
135,1,STEP,353569234290644,353569235278755,988111,-1
136,1,STEP,353569235297655,353569236331698,1034043,-1
137,1,STEP,353569236350768,353569237369670,1018902,-1
138,1,STEP,353569237391984,353569238424663,1032679,-1
139,1,STEP,353569238443061,353569239512578,1069517,-1
140,1,STEP,353569239530946,353569240632245,1101299,-1
141,1,STEP,353569240651548,353569241302229,650681,-1
142,1,STEP,353569241322122,353569242099558,777436,-1
143,1,STEP,353569242117475,353569243185413,1067938,-1
144,1,STEP,353569243204858,353569244172725,967867,-1
145,1,STEP,353569244195037,353569245155951,960914,-1
146,1,STEP,353569245178324,353569246254740,1076416,-1
147,1,STEP,353569246276975,353569247374876,1097901,-1
148,1,STEP,353569247397908,353569248445002,1047094,-1
149,1,STEP,353569248467636,353569249535772,1068136,-1
150,1,STEP,353569249558259,353569250571813,1013554,-1
151,1,STEP,353569250590946,353569251631397,1040451,-1
152,1,STEP,353569251654040,353569252734482,1080442,-1
153,1,STEP,353569252756039,353569253865653,1109614,-1
154,1,STEP,353569253888260,353569255034373,1146113,-1
155,1,STEP,353569255059013,353569256180777,1121764,-1
156,1,STEP,353569256203798,353569257258990,1055192,-1
157,1,STEP,353569257281429,353569258305873,1024444,-1
158,1,STEP,353569258327780,353569259286337,958557,-1
159,1,STEP,353569259308079,353569260322302,1014223,-1
160,1,STEP,353569260344058,353569261478982,1134924,-1
161,1,STEP,353569261499023,353569262443627,944604,-1
