Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,1529031803026397,1529032434624893,631598496,-1
0,1,STEP,1529032437082252,1529032441491673,4409421,-1
1,1,STEP,1529032441626382,1529032445764009,4137627,-1
2,1,STEP,1529032445890635,1529032451231649,5341014,-1
3,1,STEP,1529032451333608,1529032456604287,5270679,-1
4,1,STEP,1529032456706289,1529032461409671,4703382,-1
5,1,STEP,1529032461545672,1529032465908925,4363253,-1
6,1,STEP,1529032466010927,1529032470850560,4839633,-1
7,1,STEP,1529032470963936,1529032475871445,4907509,-1
8,1,STEP,1529032475984696,1529032480551702,4567006,-1
9,1,STEP,1529032480631036,1529032484427284,3796248,-1
10,1,STEP,1529032484540618,1529032489175416,4634798,-1
11,1,STEP,1529032489288709,1529032495136103,5847394,-1
12,1,STEP,1529032495249437,1529032500610076,5360639,-1
13,1,STEP,1529032500714369,1529032504298198,3583829,-1
14,1,STEP,1529032504407616,1529032508916537,4508921,-1
15,1,STEP,1529032509010580,1529032513011871,4001291,-1
16,1,STEP,1529032513081497,1529032517435209,4353712,-1
17,1,STEP,1529032517504876,1529032520831369,3326493,-1
18,1,STEP,1529032520900995,1529032525319415,4418420,-1
19,1,STEP,1529032525464459,1529032529809754,4345295,-1
20,1,STEP,1529032529923088,1529032534227299,4304211,-1
21,1,STEP,1529032534340550,1529032539111892,4771342,-1
22,1,STEP,1529032539236559,1529032544290820,5054261,-1
23,1,STEP,1529032544392780,1529032548393363,4000583,-1
24,1,STEP,1529032548472697,1529032552790866,4318169,-1
25,1,STEP,1529032552881451,1529032558740220,5858769,-1
26,1,STEP,1529032558853554,1529032563715063,4861509,-1
27,1,STEP,1529032563828439,1529032568554738,4726299,-1
28,1,STEP,1529032568668114,1529032572952325,4284211,-1
29,1,STEP,1529032573518956,1529032578057878,4538922,-1
30,1,STEP,1529032578137212,1529032582111920,3974708,-1
31,1,STEP,1529032582208254,1529032586670426,4462172,-1
32,1,STEP,1529032586800260,1529032590313547,3513287,-1
33,1,STEP,1529032590494840,1529032595197139,4702299,-1
