Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,30798391859872,30798688988999,297129127,-1
0,1,STEP,30798691197659,30798694803953,3606294,-1
1,1,STEP,30798694947813,30798698276452,3328639,-1
2,1,STEP,30798698460145,30798702271725,3811580,-1
3,1,STEP,30798702377964,30798706029425,3651461,-1
4,1,STEP,30798706134980,30798709844456,3709476,-1
5,1,STEP,30798710237989,30798713442220,3204231,-1
6,1,STEP,30798713546699,30798716892614,3345915,-1
7,1,STEP,30798717011544,30798720325740,3314196,-1
8,1,STEP,30798720534889,30798723629554,3094665,-1
9,1,STEP,30798723757606,30798730415299,6657693,-1
10,1,STEP,30798730535931,30798733820006,3284075,-1
11,1,STEP,30798733930919,30798737752077,3821158,-1
12,1,STEP,30798737864545,30798741470231,3605686,-1
13,1,STEP,30798741592724,30798744307816,2715092,-1
14,1,STEP,30798744413922,30798747816630,3402708,-1
15,1,STEP,30798747935369,30798750265084,2329715,-1
16,1,STEP,30798750357367,30798753188883,2831516,-1
17,1,STEP,30798753318644,30798755836713,2518069,-1
18,1,STEP,30798755944090,30798758566400,2622310,-1
19,1,STEP,30798758662674,30798760885441,2222767,-1
20,1,STEP,30798760979234,30798763121304,2142070,-1
21,1,STEP,30798763201564,30798765763554,2561990,-1
22,1,STEP,30798765865521,30798769557505,3691984,-1
23,1,STEP,30798769695078,30798772788514,3093436,-1
24,1,STEP,30798772911588,30798775843122,2931534,-1
25,1,STEP,30798775957277,30798779715583,3758306,-1
26,1,STEP,30798779826813,30798783243102,3416289,-1
27,1,STEP,30798783378742,30798786353143,2974401,-1
28,1,STEP,30798786509417,30798789012100,2502683,-1
29,1,STEP,30798789106118,30798791998445,2892327,-1
30,1,STEP,30798792076578,30798794359195,2282617,-1
31,1,STEP,30798794429018,30798796520043,2091025,-1
32,1,STEP,30798796589447,30798798279067,1689620,-1
33,1,STEP,30798798344199,30798800537110,2192911,-1
34,1,STEP,30798800602913,30798802742159,2139246,-1
35,1,STEP,30798802813259,30798805021204,2207945,-1
36,1,STEP,30798805097746,30798808318688,3220942,-1
37,1,STEP,30798808432290,30798811465677,3033387,-1
38,1,STEP,30798811581077,30798814529878,2948801,-1
39,1,STEP,30798814651642,30798817597824,2946182,-1
40,1,STEP,30798817736836,30798821024117,3287281,-1
41,1,STEP,30798821144645,30798824141124,2996479,-1
42,1,STEP,30798824252179,30798827776449,3524270,-1
43,1,STEP,30798827888004,30798830916223,3028219,-1
44,1,STEP,30798831020628,30798833837919,2817291,-1
45,1,STEP,30798834022977,30798837911370,3888393,-1
46,1,STEP,30798838031443,30798842178863,4147420,-1
47,1,STEP,30798842290590,30798845618888,3328298,-1
48,1,STEP,30798845727812,30798849249907,3522095,-1
49,1,STEP,30798849368116,30798852799153,3431037,-1
50,1,STEP,30798852928421,30798855717530,2789109,-1
51,1,STEP,30798855822802,30798859532208,3709406,-1
52,1,STEP,30798859727353,30798862686092,2958739,-1
53,1,STEP,30798862763137,30798866012946,3249809,-1
54,1,STEP,30798866136080,30798869231462,3095382,-1
55,1,STEP,30798869353004,30798872782272,3429268,-1
56,1,STEP,30798872894121,30798876739676,3845555,-1
57,1,STEP,30798876857453,30798880242805,3385352,-1
58,1,STEP,30798880387813,30798883742745,3354932,-1
59,1,STEP,30798883909863,30798887317830,3407967,-1
60,1,STEP,30798887466567,30798890916714,3450147,-1
61,1,STEP,30798891034898,30798893895787,2860889,-1
62,1,STEP,30798894009225,30798897584048,3574823,-1
63,1,STEP,30798897702077,30798900780999,3078922,-1
64,1,STEP,30798900899639,30798904452067,3552428,-1
65,1,STEP,30798904627642,30798907287689,2660047,-1
66,1,STEP,30798907426860,30798910734141,3307281,-1
67,1,STEP,30798910875585,30798914138164,3262579,-1
68,1,STEP,30798914254005,30798917552291,3298286,-1
69,1,STEP,30798917741105,30798921815877,4074772,-1
70,1,STEP,30798921940704,30798924968764,3028060,-1
71,1,STEP,30798925088242,30798928746084,3657842,-1
72,1,STEP,30798928931688,30798931607332,2675644,-1
73,1,STEP,30798931834411,30798934628227,2793816,-1
74,1,STEP,30798934741299,30798937151849,2410550,-1
75,1,STEP,30798937336336,30798940093225,2756889,-1
76,1,STEP,30798940377920,30798943259556,2881636,-1
77,1,STEP,30798943380585,30798946530323,3149738,-1
78,1,STEP,30798946650325,30798949835840,3185515,-1
79,1,STEP,30798949991372,30798953038441,3047069,-1
80,1,STEP,30798953158440,30798956683473,3525033,-1
81,1,STEP,30798956797428,30798960172885,3375457,-1
82,1,STEP,30798960293011,30798963790720,3497709,-1
83,1,STEP,30798963961917,30798966904716,2942799,-1
84,1,STEP,30798967065659,30798970683429,3617770,-1
85,1,STEP,30798970806008,30798973873636,3067628,-1
86,1,STEP,30798974018756,30798977492641,3473885,-1
87,1,STEP,30798977615543,30798981456611,3841068,-1
88,1,STEP,30798981570139,30798984885958,3315819,-1
89,1,STEP,30798984991621,30798988514334,3522713,-1
90,1,STEP,30798988622582,30798991967751,3345169,-1
91,1,STEP,30798992219271,30798994986240,2766969,-1
92,1,STEP,30798995130000,30798998194115,3064115,-1
93,1,STEP,30798998322134,30799001232315,2910181,-1
94,1,STEP,30799001358280,30799004541107,3182827,-1
95,1,STEP,30799004668385,30799007983809,3315424,-1
96,1,STEP,30799008108137,30799010860978,2752841,-1
97,1,STEP,30799010976755,30799014703675,3726920,-1
98,1,STEP,30799014852356,30799018200844,3348488,-1
99,1,STEP,30799018317840,30799021620794,3302954,-1
100,1,STEP,30799021738794,30799025343587,3604793,-1
101,1,STEP,30799025501346,30799027867050,2365704,-1
102,1,STEP,30799028035772,30799031085195,3049423,-1
103,1,STEP,30799031250270,30799034713218,3462948,-1
104,1,STEP,30799034894567,30799037356852,2462285,-1
105,1,STEP,30799037524007,30799039694866,2170859,-1
106,1,STEP,30799039763282,30799042763369,3000087,-1
107,1,STEP,30799042909666,30799046964694,4055028,-1
108,1,STEP,30799047137621,30799050454884,3317263,-1
109,1,STEP,30799050571463,30799053620288,3048825,-1
110,1,STEP,30799053735413,30799057668997,3933584,-1
111,1,STEP,30799057788138,30799061185954,3397816,-1
112,1,STEP,30799061304339,30799064857565,3553226,-1
113,1,STEP,30799065012851,30799067949481,2936630,-1
114,1,STEP,30799068103893,30799071694240,3590347,-1
115,1,STEP,30799071810028,30799075234181,3424153,-1
116,1,STEP,30799075346647,30799078658016,3311369,-1
117,1,STEP,30799078785450,30799082672907,3887457,-1
118,1,STEP,30799082792275,30799086579086,3786811,-1
