Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
115,1,STEP,484673896058856,484673899576174,3517318,-1
116,1,STEP,484673899683816,484673903260165,3576349,-1
117,1,STEP,484673903383583,484673907772123,4388540,-1
118,1,STEP,484673908613633,484673913066744,4453111,-1
119,1,STEP,484673913190934,484673917400625,4209691,-1
120,1,STEP,484673918064706,484673922372635,4307929,-1
121,1,STEP,484673922484013,484673926010804,3526791,-1
122,1,STEP,484673926132913,484673930223368,4090455,-1
123,1,STEP,484673930327563,484673935255213,4927650,-1
124,1,STEP,484673935403557,484673939926900,4523343,-1
125,1,STEP,484673940064421,484673943411606,3347185,-1
126,1,STEP,484673943517325,484673947028028,3510703,-1
127,1,STEP,484673947142491,484673951516006,4373515,-1
128,1,STEP,484673951685202,484673954619709,2934507,-1
129,1,STEP,484673954763998,484673958445588,3681590,-1
130,1,STEP,484673958550398,484673962459608,3909210,-1
131,1,STEP,484673962592943,484673966265903,3672960,-1
132,1,STEP,484673966376901,484673969907996,3531095,-1
133,1,STEP,484673970015617,484673973961137,3945520,-1
134,1,STEP,484673974064082,484673978113294,4049212,-1
135,1,STEP,484673978262199,484673982285967,4023768,-1
136,1,STEP,484673982431369,484673986440951,4009582,-1
137,1,STEP,484673986569365,484673990097367,3528002,-1
138,1,STEP,484673990203417,484673993852748,3649331,-1
139,1,STEP,484673993966321,484673997469727,3503406,-1
140,1,STEP,484673997629921,484674008632212,11002291,-1
141,1,STEP,484674009085107,484674014217323,5132216,-1
142,1,STEP,484674014348083,484674018310365,3962282,-1
143,1,STEP,484674018829425,484674023036648,4207223,-1
144,1,STEP,484674023145050,484674027013024,3867974,-1
145,1,STEP,484674027117130,484674031422772,4305642,-1
146,1,STEP,484674031530835,484674034862022,3331187,-1
147,1,STEP,484674034952152,484674038211834,3259682,-1
148,1,STEP,484674038280027,484674041627260,3347233,-1
149,1,STEP,484674041770132,484674049707781,7937649,-1
150,1,STEP,484674050031907,484674053762011,3730104,-1
151,1,STEP,484674053868506,484674058048948,4180442,-1
152,1,STEP,484674058143282,484674062081604,3938322,-1
153,1,STEP,484674062149463,484674066563953,4414490,-1
154,1,STEP,484674066731477,484674070186529,3455052,-1
155,1,STEP,484674070258538,484674073444298,3185760,-1
156,1,STEP,484674073557629,484674077778323,4220694,-1
157,1,STEP,484674082181823,484674086884502,4702679,-1
158,1,STEP,484674086998458,484674091993660,4995202,-1
159,1,STEP,484674092102976,484674096197880,4094904,-1
160,1,STEP,484674096293819,484674100949263,4655444,-1
161,1,STEP,484674101056423,484674105758568,4702145,-1
162,1,STEP,484674105838167,484674110483420,4645253,-1
163,1,STEP,484674110611870,484674116342642,5730772,-1
164,1,STEP,484674121518847,484674125985407,4466560,-1
165,1,STEP,484674126120996,484674129766140,3645144,-1
166,1,STEP,484674129882256,484674134823583,4941327,-1
167,1,STEP,484674134944683,484674138777807,3833124,-1
168,1,STEP,484674138879047,484674143382788,4503741,-1
169,1,STEP,484674143480796,484674147474076,3993280,-1
170,1,STEP,484674147567324,484674151503084,3935760,-1
171,1,STEP,484674151586430,484674154591119,3004689,-1
172,1,STEP,484674154712429,484674158303350,3590921,-1
173,1,STEP,484674158392457,484674161896892,3504435,-1
174,1,STEP,484674162031454,484674165418718,3387264,-1
175,1,STEP,484674165536492,484674168708409,3171917,-1
176,1,STEP,484674168775356,484674172428157,3652801,-1
177,1,STEP,484674172539811,484674176584782,4044971,-1
178,1,STEP,484674176689059,484674180696525,4007466,-1
179,1,STEP,484674180841185,484674184137562,3296377,-1
180,1,STEP,484674184232865,484674187679188,3446323,-1
181,1,STEP,484674187779565,484674191357845,3578280,-1
182,1,STEP,484674191448857,484674195582208,4133351,-1
183,1,STEP,484674195673586,484674199651427,3977841,-1
184,1,STEP,484674199737556,484674203621512,3883956,-1
185,1,STEP,484674204558857,484674207220892,2662035,-1
186,1,STEP,484674207317811,484674210768085,3450274,-1
187,1,STEP,484674210887406,484674214566196,3678790,-1
188,1,STEP,484674214659912,484674218054691,3394779,-1
189,1,STEP,484674218131944,484674221809403,3677459,-1
190,1,STEP,484674221911839,484674225617112,3705273,-1
191,1,STEP,484674225721183,484674229278016,3556833,-1
192,1,STEP,484674229451646,484674232848194,3396548,-1
193,1,STEP,484674239075591,484674243100006,4024415,-1
194,1,STEP,484674243175721,484674246529748,3354027,-1
195,1,STEP,484674246634551,484674249862490,3227939,-1
196,1,STEP,484674249971804,484674257790067,7818263,-1
197,1,STEP,484674257897761,484674261424926,3527165,-1
198,1,STEP,484674261528906,484674265164819,3635913,-1
199,1,STEP,484674265245086,484674268870558,3625472,-1
200,1,STEP,484674268966464,484674272496286,3529822,-1
201,1,STEP,484674272616425,484674276072075,3455650,-1
202,1,STEP,484674276182721,484674279561937,3379216,-1
203,1,STEP,484674279623706,484674282390700,2766994,-1
204,1,STEP,484674282457409,484674286074624,3617215,-1
205,1,STEP,484674286184184,484674289587171,3402987,-1
206,1,STEP,484674289687488,484674293855611,4168123,-1
207,1,STEP,484674294416144,484674298159112,3742968,-1
208,1,STEP,484674298261684,484674302047787,3786103,-1
209,1,STEP,484674302168073,484674306427519,4259446,-1
210,1,STEP,484674306530376,484674310071007,3540631,-1
211,1,STEP,484674310133263,484674312935683,2802420,-1
212,1,STEP,484674313036569,484674316454353,3417784,-1
213,1,STEP,484674316579068,484674320048751,3469683,-1
214,1,STEP,484674320160484,484674323371763,3211279,-1
215,1,STEP,484674323476378,484674327262298,3785920,-1
216,1,STEP,484674328243800,484674331062085,2818285,-1
217,1,STEP,484674331126091,484674334170346,3044255,-1
218,1,STEP,484674334285402,484674337942525,3657123,-1
219,1,STEP,484674338053352,484674342055571,4002219,-1
220,1,STEP,484674342162002,484674344986964,2824962,-1
221,1,STEP,484674345110180,484674347746731,2636551,-1
222,1,STEP,484674347841601,484674351025046,3183445,-1
223,1,STEP,484674351112890,484674354283384,3170494,-1
224,1,STEP,484674354391362,484674357501269,3109907,-1
225,1,STEP,484674357598720,484674360350440,2751720,-1
226,1,STEP,484674360439377,484674363073152,2633775,-1
227,1,STEP,484674363191245,484674366298000,3106755,-1
228,1,STEP,484674366408700,484674369760535,3351835,-1
229,1,STEP,484674369856412,484674372930329,3073917,-1
230,1,STEP,484674373022784,484674376709409,3686625,-1
231,1,STEP,484674376806286,484674379574717,2768431,-1
232,1,STEP,484674379690112,484674383354437,3664325,-1
233,1,STEP,484674383463073,484674387665752,4202679,-1
234,1,STEP,484674387790989,484674390207935,2416946,-1
235,1,STEP,484674390323777,484674392946456,2622679,-1
236,1,STEP,484674393051241,484674396150272,3099031,-1
237,1,STEP,484674396276536,484674399488613,3212077,-1
238,1,STEP,484674399576431,484674402222533,2646102,-1
239,1,STEP,484674402311675,484674405579233,3267558,-1
240,1,STEP,484674405668522,484674409257381,3588859,-1
241,1,STEP,484674409347232,484674412984823,3637591,-1
242,1,STEP,484674413075019,484674415474244,2399225,-1
243,1,STEP,484674415566810,484674417855226,2288416,-1
244,1,STEP,484674417943342,484674421529002,3585660,-1
245,1,STEP,484674421635296,484674425080163,3444867,-1
246,1,STEP,484674425153783,484674428037292,2883509,-1
247,1,STEP,484674428128348,484674431244378,3116030,-1
248,1,STEP,484674431353761,484674434742382,3388621,-1
249,1,STEP,484674434846145,484674437721009,2874864,-1
250,1,STEP,484674437817740,484674441059496,3241756,-1
251,1,STEP,484674441584477,484674444829262,3244785,-1
252,1,STEP,484674444939122,484674447630281,2691159,-1
253,1,STEP,484674447743047,484674451751332,4008285,-1
254,1,STEP,484674451860225,484674456601143,4740918,-1
255,1,STEP,484674456710117,484674460852339,4142222,-1
256,1,STEP,484674461001377,484674464794143,3792766,-1
257,1,STEP,484674464875602,484674468565741,3690139,-1
258,1,STEP,484674468702346,484674477258432,8556086,-1
259,1,STEP,484674477417696,484674481449430,4031734,-1
260,1,STEP,484674481562622,484674485092443,3529821,-1
261,1,STEP,484674485211952,484674488597287,3385335,-1
262,1,STEP,484674488687416,484674492524883,3837467,-1
263,1,STEP,484674492626357,484674495805733,3179376,-1
264,1,STEP,484674495921997,484674499869969,3947972,-1
265,1,STEP,484674504278102,484674507798294,3520192,-1
266,1,STEP,484674507918884,484674511350848,3431964,-1
267,1,STEP,484674511450008,484674514657702,3207694,-1
268,1,STEP,484674514761450,484674518611544,3850094,-1
269,1,STEP,484674518714672,484674521994169,3279497,-1
270,1,STEP,484674522061649,484674525863769,3802120,-1
271,1,STEP,484674525973858,484674530207234,4233376,-1
272,1,STEP,484674530279652,484674533127682,2848030,-1
273,1,STEP,484674533244745,484674536929987,3685242,-1
274,1,STEP,484674537047835,484674540449320,3401485,-1
275,1,STEP,484674540558814,484674544163639,3604825,-1
276,1,STEP,484674544254479,484674548502411,4247932,-1
277,1,STEP,484674548613611,484674557413991,8800380,-1
278,1,STEP,484674557532306,484674561818396,4286090,-1
279,1,STEP,484674561900542,484674565528002,3627460,-1
280,1,STEP,484674565623893,484674569022309,3398416,-1
281,1,STEP,484674569102785,484674573761536,4658751,-1
282,1,STEP,484674573829552,484674577169725,3340173,-1
283,1,STEP,484674577229827,484674580266914,3037087,-1
284,1,STEP,484674580326765,484674583365543,3038778,-1
285,1,STEP,484674583431844,484674586866206,3434362,-1
286,1,STEP,484674586962953,484674590522300,3559347,-1
287,1,STEP,484674590610592,484674594250834,3640242,-1
288,1,STEP,484674594339078,484674598162051,3822973,-1
289,1,STEP,484674598266892,484674602138849,3871957,-1
290,1,STEP,484674602282390,484674606198631,3916241,-1
291,1,STEP,484674606328227,484674610245029,3916802,-1
292,1,STEP,484674610333306,484674612784874,2451568,-1
293,1,STEP,484674612864027,484674616752007,3887980,-1
294,1,STEP,484674616858651,484674620497863,3639212,-1
295,1,STEP,484674620598167,484674624574745,3976578,-1
296,1,STEP,484674624677670,484674627712407,3034737,-1
297,1,STEP,484674627807658,484674630816324,3008666,-1
298,1,STEP,484674630931836,484674633943556,3011720,-1
299,1,STEP,484674634050297,484674636601445,2551148,-1
300,1,STEP,484674636693061,484674639521891,2828830,-1
301,1,STEP,484674639619785,484674642596502,2976717,-1
302,1,STEP,484674642694120,484674646367152,3673032,-1
303,1,STEP,484674646472041,484674649358259,2886218,-1
304,1,STEP,484674649486685,484674653042204,3555519,-1
305,1,STEP,484674653141753,484674656980175,3838422,-1
306,1,STEP,484674657090298,484674661137214,4046916,-1
307,1,STEP,484674661217318,484674665248660,4031342,-1
308,1,STEP,484674665354082,484674668822794,3468712,-1
309,1,STEP,484674668937780,484674672349961,3412181,-1
310,1,STEP,484674672480716,484674676225404,3744688,-1
311,1,STEP,484674676290938,484674680083494,3792556,-1
312,1,STEP,484674680192372,484674684075905,3883533,-1
313,1,STEP,484674684204592,484674688426076,4221484,-1
314,1,STEP,484674688535677,484674692719406,4183729,-1
315,1,STEP,484674692828523,484674697084390,4255867,-1
316,1,STEP,484674697195216,484674701074511,3879295,-1
317,1,STEP,484674701142395,484674704234787,3092392,-1
318,1,STEP,484674704339028,484674707505283,3166255,-1
319,1,STEP,484674707618253,484674711352502,3734249,-1
320,1,STEP,484674711423076,484674715466100,4043024,-1
321,1,STEP,484674715576300,484674720446187,4869887,-1
322,1,STEP,484674720559588,484674723819812,3260224,-1
323,1,STEP,484674723882093,484674727745358,3863265,-1
324,1,STEP,484674727855284,484674732790594,4935310,-1
325,1,STEP,484674732888344,484674736811461,3923117,-1
326,1,STEP,484674736946070,484674741224923,4278853,-1
327,1,STEP,484674741332438,484674745017408,3684970,-1
328,1,STEP,484674745110893,484674748519369,3408476,-1
329,1,STEP,484674748609952,484674751740333,3130381,-1
330,1,STEP,484674751831294,484674756017681,4186387,-1
331,1,STEP,484674756151110,484674758920046,2768936,-1
332,1,STEP,484674759019768,484674761855808,2836040,-1
333,1,STEP,484674761956167,484674764524992,2568825,-1
334,1,STEP,484674764627822,484674766906998,2279176,-1
335,1,STEP,484674767033644,484674769963735,2930091,-1
336,1,STEP,484674770056659,484674773039938,2983279,-1
337,1,STEP,484674773132067,484674776182906,3050839,-1
338,1,STEP,484674776274700,484674779128217,2853517,-1
339,1,STEP,484674779228771,484674781735425,2506654,-1
340,1,STEP,484674781810972,484674784634545,2823573,-1
341,1,STEP,484674784754008,484674788206388,3452380,-1
342,1,STEP,484674788278251,484674790861140,2582889,-1
343,1,STEP,484674790921556,484674793513508,2591952,-1
344,1,STEP,484674793621033,484674797746687,4125654,-1
345,1,STEP,484674797854510,484674801803337,3948827,-1
346,1,STEP,484674801897380,484674804679243,2781863,-1
347,1,STEP,484674804792337,484674807627354,2835017,-1
348,1,STEP,484674807715159,484674811381958,3666799,-1
349,1,STEP,484674811503648,484674815241740,3738092,-1
350,1,STEP,484674815365182,484674818756624,3391442,-1
351,1,STEP,484674818865147,484674822038888,3173741,-1
352,1,STEP,484674822143409,484674825196165,3052756,-1
353,1,STEP,484674825262060,484674828359486,3097426,-1
354,1,STEP,484674828443287,484674831801802,3358515,-1
355,1,STEP,484674831916759,484674835675273,3758514,-1
