Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
67,1.08956e-66,0.1519,5000,0.902344,16.0938,0.902344,0,0.0449219,0.0449219
68,1.08372e-66,0.151907,5000,0.891602,16.1094,0.891602,0,0.0488281,0.0488281
69,1.08425e-66,0.151907,5000,0.892578,16.1035,0.892578,0,0.0498047,0.0498047
70,1.07363e-66,0.151919,5000,0.873047,16.123,0.873047,0,0.0673828,0.0673828
71,1.08478e-66,0.151906,5000,0.893555,16.1045,0.893555,0,0.0419922,0.0419922
72,1.07682e-66,0.151915,5000,0.878906,16.1162,0.878906,0,0.0605469,0.0605469
73,1.08319e-66,0.151908,5000,0.890625,16.1035,0.890625,0,0.0507812,0.0507812
74,1.0885e-66,0.151902,5000,0.900391,16.1016,0.900391,0,0.0449219,0.0449219
75,1.09328e-66,0.151896,5000,0.90918,16.0908,0.90918,0,0.0380859,0.0380859
76,1.08744e-66,0.151903,5000,0.898438,16.1025,0.898438,0,0.0527344,0.0527344
77,1.08691e-66,0.151904,5000,0.897461,16.1025,0.897461,0,0.046875,0.046875
78,1.09063e-66,0.151899,5000,0.904297,16.0928,0.904297,0,0.0458984,0.0458984
79,1.09169e-66,0.151898,5000,0.90625,16.0908,0.90625,0,0.0400391,0.0400391
80,1.10125e-66,0.151886,5000,0.923828,16.0742,0.923828,0,0.0390625,0.0390625
81,1.08744e-66,0.151903,5000,0.898438,16.1016,0.898438,0,0.0537109,0.0537109
82,1.08319e-66,0.151908,5000,0.890625,16.1123,0.890625,0,0.0498047,0.0498047
83,1.08213e-66,0.151909,5000,0.888672,16.1123,0.888672,0,0.0517578,0.0517578
84,1.07947e-66,0.151912,5000,0.883789,16.1123,0.883789,0,0.0537109,0.0537109
85,1.07628e-66,0.151916,5000,0.87793,16.1143,0.87793,0,0.0566406,0.0566406
86,1.08903e-66,0.151901,5000,0.901367,16.0947,0.901367,0,0.0410156,0.0410156
87,1.07575e-66,0.151917,5000,0.876953,16.1172,0.876953,0,0.0517578,0.0517578
88,1.08053e-66,0.151911,5000,0.885742,16.1104,0.885742,0,0.0566406,0.0566406
89,1.0885e-66,0.151902,5000,0.901367,16.0928,0.900391,0.000976562,0.0498047,0.0498047
90,1.08106e-66,0.15191,5000,0.887695,16.1074,0.886719,0.000976562,0.0527344,0.0527344
91,1.07894e-66,0.151913,5000,0.882812,16.1074,0.882812,0,0.046875,0.046875
92,1.07947e-66,0.151912,5000,0.883789,16.1035,0.883789,0,0.0546875,0.0546875
93,1.08106e-66,0.15191,5000,0.886719,16.1113,0.886719,0,0.0546875,0.0546875
94,1.08e-66,0.151912,5000,0.884766,16.1143,0.884766,0,0.0644531,0.0644531
95,1.08053e-66,0.151911,5000,0.885742,16.1084,0.885742,0,0.0537109,0.0537109
96,1.08425e-66,0.151907,5000,0.892578,16.1025,0.892578,0,0.0458984,0.0458984
97,1.09116e-66,0.151898,5000,0.905273,16.0947,0.905273,0,0.0332031,0.0332031
98,1.08797e-66,0.151902,5000,0.899414,16.0967,0.899414,0,0.0527344,0.0527344
99,1.08691e-66,0.151904,5000,0.897461,16.1006,0.897461,0,0.0478516,0.0478516
100,1.08584e-66,0.151905,5000,0.895508,16.1064,0.895508,0,0.0488281,0.0488281
101,1.07788e-66,0.151914,5000,0.880859,16.1172,0.880859,0,0.0556641,0.0556641
102,1.08531e-66,0.151905,5000,0.894531,16.0928,0.894531,0,0.0429688,0.0429688
103,1.09434e-66,0.151895,5000,0.911133,16.0869,0.911133,0,0.0498047,0.0498047
