Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
105,1.14268e-66,0.151837,5000,1,16,1,0,0,0
106,1.14268e-66,0.151837,5000,1,16,1,0,0,0
107,1.14268e-66,0.151837,5000,1,16,1,0,0,0
108,1.14268e-66,0.151837,5000,1,16,1,0,0,0
109,1.14268e-66,0.151837,5000,1,16,1,0,0,0
110,1.14268e-66,0.151837,5000,1,16,1,0,0,0
111,1.14268e-66,0.151837,5000,1,16,1,0,0,0
112,1.14268e-66,0.151837,5000,1,16,1,0,0,0
113,1.14268e-66,0.151837,5000,1,16,1,0,0,0
114,1.14268e-66,0.151837,5000,1,16,1,0,0,0
115,1.14268e-66,0.151837,5000,1,16,1,0,0,0
116,1.14268e-66,0.151837,5000,1,16,1,0,0,0
117,1.14268e-66,0.151837,5000,1,16,1,0,0,0
118,1.14268e-66,0.151837,5000,1,16,1,0,0,0
119,1.14268e-66,0.151837,5000,1,16,1,0,0,0
120,1.14268e-66,0.151837,5000,1,16,1,0,0,0
121,1.14268e-66,0.151837,5000,1,16,1,0,0,0
122,1.14268e-66,0.151837,5000,1,16,1,0,0,0
123,1.14268e-66,0.151837,5000,1,16,1,0,0,0
124,1.14268e-66,0.151837,5000,1,16,1,0,0,0
125,1.14268e-66,0.151837,5000,1,16,1,0,0,0
126,1.14268e-66,0.151837,5000,1,16,1,0,0,0
127,1.14268e-66,0.151837,5000,1,16,1,0,0,0
128,1.14268e-66,0.151837,5000,1,16,1,0,0,0
129,1.14268e-66,0.151837,5000,1,16,1,0,0,0
130,1.14268e-66,0.151837,5000,1,16,1,0,0,0
131,1.14268e-66,0.151837,5000,1,16,1,0,0,0
132,1.14268e-66,0.151837,5000,1,16,1,0,0,0
133,1.14268e-66,0.151837,5000,1,16,1,0,0,0
134,1.14268e-66,0.151837,5000,1,16,1,0,0,0
135,1.14268e-66,0.151837,5000,1,16,1,0,0,0
136,1.14268e-66,0.151837,5000,1,16,1,0,0,0
137,1.14268e-66,0.151837,5000,1,16,1,0,0,0
138,1.14268e-66,0.151837,5000,1,16,1,0,0,0
139,1.14268e-66,0.151837,5000,1,16,1,0,0,0
140,1.14268e-66,0.151837,5000,1,16,1,0,0,0
141,1.14268e-66,0.151837,5000,1,16,1,0,0,0
142,1.14268e-66,0.151837,5000,1,16,1,0,0,0
143,1.14268e-66,0.151837,5000,1,16,1,0,0,0
